//
///////////////////////////////////////////EXTRASUNNY_LA 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            22 22 22        190 176 169        255 255 255        125 145 151        125 145 151            10 10 0             10 0 0               2.75               0.45               0.05                 80                  0                120             700.00             -22.00               0.25        120 100 100         92 116 123    125 125 125 240       127 80 80 80    127 122 122 122                155                180                  0               1.00
// 7 PM
            22 22 22        190 176 169        255 255 255        125 145 151        125 145 151              0 0 0              0 0 0               3.45               0.95               0.05                 80                  0                  0             700.00             -22.00               0.75        120 100 100         92 116 123    123 128 134 240       127 44 44 44    127 122 122 122                155                180                  0               1.00
// 8 PM
               0 0 0           41 41 41        255 255 255           23 39 42           41 48 52              0 0 0              0 0 0              -0.05               0.95               0.05                 80                 50                  0             700.00             -22.00               0.95        120 100 100           46 58 61    122 126 134 240       127 90 90 90     127 90 122 122                155                180                  0               1.00
// 10 PM
            24 28 20        222 200 200        255 255 255           15 15 20           20 22 22            10 10 0             10 0 0               0.95               0.95               0.35                200                100                  0             700.00             111.00               0.95           70 27 10           23 28 30       10 70 60 240      127 64 64 100       127 69 70 87                155                 20                  0               1.00
//
///////////////////////////////////////////SUNNY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            20 30 30        133 133 133        255 255 255             0 8 12           10 36 65          255 128 0              5 0 0               0.95               0.45               0.35                200                100                  0             450.00             100.00               0.95            30 20 0              3 3 3       19 40 52 240       127 66 66 66       127 88 56 28                 50                120                  0               1.00
// 5 AM
            20 30 30        143 143 143        255 255 255            4 32 66           22 43 67          255 128 0            255 0 0              -0.05               0.25               0.95                150                100                  0             454.00             100.00               0.95           70 27 10           50 43 36       21 41 56 240       127 66 99 66       127 88 47 23                 50                120                  0               1.00
// 6 AM
            30 30 30        188 188 188        255 255 255         90 205 255         200 144 85          255 128 0          255 128 0               2.95               0.15               0.85                140                100                  0             455.00              66.00               0.75          100 34 25          120 92 88    178 160 160 200    127 124 124 124       127 45 47 23                 50                120                 70               1.00
// 7 AM
            24 26 30        188 188 188        255 255 255         90 205 255        187 146 116          255 128 0            255 0 0               3.25               0.95               0.05                100                 50                  0             455.00              66.00               0.45          120 40 40        159 142 106    145 170 170 240       127 55 62 64       127 66 66 80                 50                120                  0               1.00
// Midday
            30 30 30        188 188 188        255 255 255        101 157 205        163 163 163          255 128 0          255 128 0               2.45               0.95               0.05                150                  0                150             455.00              66.00               0.95        120 100 100        180 255 255     90 170 170 240    127 101 101 101       127 45 66 36                 50                120                  0               1.00
// 7 PM
            30 30 30        163 163 163        255 255 255        109 142 157        174 174 174            255 0 0            255 0 0               3.25               0.95               0.15                110                 40                  0             455.00              66.00               0.75          120 40 40         200 123 96      103 95 87 240       127 85 85 85       127 66 66 44                 50                120                  0               1.00
// 8 PM
            30 30 30        163 163 163        255 255 255         71 100 142        129 126 107          255 128 0            155 0 0               1.95               0.55               0.25                100                 60                  0             455.00              66.00               0.95          120 40 40              0 0 0       67 67 67 240       127 98 58 45       127 66 55 23                 50                120                  0               1.00
// 10 PM
            13 13 30        143 143 143        255 255 255           20 15 45           13 44 65            255 5 8              5 8 0               0.95               0.45               0.45                160                100                  0             455.00              66.00               0.95           70 27 10              0 0 0       44 73 96 240    127 124 124 124       127 45 47 23                 50                112                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0              0 0 0        255 255 255            4 17 32            4 19 35          255 128 0              5 0 0               0.95               0.45               0.35                200                100                  0             450.00             100.00               0.95            30 20 0              3 3 3       19 40 52 240       127 66 66 66       127 88 56 28                  0                120                  0               1.00
// 5 AM
               0 0 0        143 143 143        255 255 255           18 47 83           41 62 86          255 128 0            255 0 0              -0.05               0.25               0.95                150                100                  0             454.00             100.00               0.95           70 27 10           50 43 36       21 41 56 240       127 66 99 66       127 88 47 23                  0                120                  0               1.00
// 6 AM
            16 20 27        188 188 188        255 255 255         94 138 187          138 96 78          255 128 0          255 128 0               2.65               0.15               0.15                140                100                  0             455.00              66.00               0.75          100 34 25          120 92 88    178 160 160 200       127 79 79 79       127 166 94 0                  0                120                  0               1.00
// 7 AM
              12 0 0        188 188 188        255 255 255         94 138 187          138 96 78          255 128 0            255 0 0               1.65               0.95               0.05                100                 50                  0             455.00              66.00               0.45          120 40 40        159 142 106    145 170 170 240       127 86 86 86       127 166 94 0                  0                120                  0               1.00
// Midday
            30 30 30        188 188 188        255 255 255         90 180 255        175 175 175          255 128 0          255 128 0               2.45               0.95               0.05                150                  0                150             455.00              66.00               0.95        120 100 100        180 255 255     90 170 170 240       127 99 99 99       127 45 66 36                  0                120                  0               1.00
// 7 PM
            30 30 30        163 163 163        255 255 255        109 141 157         169 133 65            255 0 0            255 0 0               3.25               0.95               0.15                110                 40                  0             455.00              66.00               0.75          120 40 40         200 123 96      103 95 87 240       127 42 66 66       127 66 66 44                  0                120                  0               1.00
// 8 PM
            30 30 30        163 163 163        255 255 255        109 142 189        165 155 130          255 128 0            155 0 0               1.95               0.55               0.25                100                 60                  0             455.00              66.00               0.95          120 40 40              0 0 0       67 67 67 240      127 124 66 44       127 66 55 23                  0                120                  0               1.00
// 10 PM
               0 0 0              0 0 0        255 255 255            3 16 29            6 19 32            255 5 8              5 8 0               0.95               0.45               0.45                160                100                  0             455.00              66.00               0.95           70 27 10              0 0 0       44 73 96 240    127 124 124 124       127 45 47 23                  0                112                  0               1.00
//
///////////////////////////////////////////CLOUDY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            30 30 30        108 108 101        255 255 255           11 11 11           11 11 11            10 10 0             10 0 0               0.95               0.95               0.95                200                100                  0            1150.00             -22.00               0.95            30 20 0           23 28 30       55 55 66 240       127 64 64 12       127 88 66 66                155                  0                  0               1.00
// 5 AM
            30 22 30        108 108 101        255 255 255           14 14 14           14 14 14            10 10 0             10 0 0              -0.05               0.95               0.95                200                100                  0            1150.00             -22.00               0.95           70 27 10           23 28 30       55 55 66 240       127 77 67 52       127 85 72 66                155                  0                  0               1.00
// 6 AM
            30 30 30        153 153 153        255 255 255           41 46 47           31 36 37            10 10 0             10 0 0               3.35               0.85               0.85                200                100                  0            1150.00             -22.00               0.75          100 34 25           23 28 30       77 77 88 240       127 64 64 64       127 77 77 77                155                  0                100               1.00
// 7 AM
              5 5 12        153 153 153        255 255 255           62 72 75           62 72 75            10 10 0             10 0 0              -0.05               0.65               0.75                200                 50                  0            1150.00             -22.00               0.45          120 40 40           46 58 61       77 77 88 240    127 124 124 124       127 48 48 48                155                  0                  0               1.00
// Midday
              5 5 12        122 123 123        255 255 255        125 145 151        125 145 151            10 10 0             10 0 0               2.75               0.45               0.65                 80                  0                120            1150.00             -22.00               0.25        120 100 100         92 116 123    125 125 125 240    127 124 124 124       127 48 48 48                155                  0                  0               1.00
// 7 PM
             5 30 30        123 123 123        255 255 255           62 72 75           62 72 75            10 10 0             10 0 0               3.45               0.95               0.95                 80                  0                  0            1150.00             -22.00               0.75        120 100 100           46 58 61    123 128 134 240    127 124 124 124       127 48 48 48                155                  0                  0               1.00
// 8 PM
            30 30 30        108 108 108        255 255 255           62 72 75           62 72 75            10 10 0             10 0 0               1.95               0.95               0.95                 80                 50                  0            1150.00             -22.00               0.95        120 100 100           46 58 61    122 126 134 240       127 64 64 55       127 48 48 48                155                  0                  0               1.00
// 10 PM
            30 30 30        108 108 108        255 255 255           41 46 47           31 36 37            10 10 0             10 0 0               0.95               0.95               0.95                200                100                  0            1150.00             -22.00               0.95           70 27 10           23 28 30       77 77 88 240       127 64 64 12       127 48 48 48                155                  0                  0               1.00
//
///////////////////////////////////////////RAINY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
               0 0 0              0 0 0        255 255 255           10 10 10           20 20 20              0 0 0              0 0 0               0.95               0.95               0.45                200                100                  0             650.00               5.00               0.95            30 20 0              0 0 0       59 68 77 240       135 50 50 50       127 16 48 10                155                  0                  0               1.00
// 5 AM
               0 0 0              0 0 0        255 255 255           27 27 39           27 27 39              0 0 0              0 0 0              -0.05               0.95               0.55                200                100                  0             650.00               5.00               0.95           70 27 10              0 0 0       59 68 77 240      127 87 87 101        127 0 48 20                155                  0                  0               1.00
// 6 AM
            20 30 30        135 173 197        255 255 255           10 10 10           20 20 20              0 0 0              0 0 0               3.35               0.85               0.35                200                100                  0             650.00               5.00               0.85          100 34 25              0 0 0       62 72 77 240    127 124 124 124        127 0 48 20                155                  0                100               1.00
// 7 AM
            20 30 30        135 173 197        255 255 255           40 40 40           50 50 50              0 0 0              0 0 0               2.45               0.65               0.35                 80                 80                  0             650.00               5.00               0.75          120 40 40              0 0 0    107 117 122 240    127 124 124 124        127 0 48 20                155                  0                  0               1.00
// Midday
            20 30 30        186 186 186        255 255 255           84 84 84           70 70 70              0 0 0              0 0 0               0.95               0.45               0.05                 80                 50                120             650.00               5.00               0.65        120 100 100              0 0 0    141 141 140 240    127 124 124 124       127 30 38 30                155                  0                  0               1.00
// 7 PM
            20 30 30        135 173 193        255 255 255           80 80 80           70 70 70              0 0 0              0 0 0               3.45               0.95               0.45                 80                 50                  0             650.00               5.00               0.85          120 40 40              0 0 0    116 135 144 240    127 124 124 124       127 10 46 22                155                  0                  0               1.00
// 8 PM
            20 30 30        167 198 223        255 255 255           40 40 40           70 70 70              0 0 0              0 0 0               1.95               0.95               0.95                 80                 80                  0             650.00               5.00               0.95          120 40 40              0 0 0    132 176 189 240    127 124 124 124        127 0 48 20                155                  0                  0               1.00
// 10 PM
            20 30 30        167 198 223        255 255 255           40 40 40           50 50 50              0 0 0              0 0 0               0.95               0.95               0.95                200                100                  0             650.00               5.00               0.95           70 27 10              0 0 0    161 176 189 240    127 124 124 124        127 0 48 20                155                  0                  0               1.00
//
///////////////////////////////////////////FOGGY_SF 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            33 33 33        141 141 141        255 255 255           15 49 49           25 64 64            10 10 0             10 0 0               0.95               0.95               0.65                 60                 50                  0             150.00            -200.00               0.95            30 20 0              0 0 0    120 120 125 240    127 124 124 124       127 30 30 32                  0                120                  0               1.00
// 5 AM
            33 33 33        210 141 141        255 255 255            0 45 45            0 45 45            10 10 0             10 0 0              -0.05               0.95               0.65                 60                 50                  0             150.00            -200.00               0.95           70 27 10              0 0 0    120 120 125 240    127 124 124 124       127 30 30 32                  0                120                  0               1.00
// 6 AM
            33 33 33        141 141 141        255 255 255            0 45 45            0 45 45             0 10 0             10 0 0               3.35               0.85               0.65                 60                 50                  0             150.00            -200.00               0.75          100 34 25              0 0 0    128 128 125 240    127 124 124 124       127 30 30 32                  0                120                100               1.00
// 7 AM
            33 33 33        141 141 141        255 255 255           40 50 50           40 50 50            10 10 0             10 0 0               2.45               0.65               0.65                 60                 50                  0             150.00            -200.00               0.55          120 40 40              0 0 0    128 128 125 240    127 124 124 124       127 30 30 32                  0                120                  0               1.00
// Midday
            13 13 13        141 141 141        255 255 255        146 155 155        127 144 144            10 10 0             10 0 0               0.95               0.45               0.25                 60                 50                 60             250.00             -30.00               0.25        120 100 100              0 0 0    128 128 128 240    127 124 124 124       127 30 30 32                  0                120                  0               1.00
// 7 PM
            13 13 13        141 141 141        255 255 255        100 100 105        100 100 105            10 10 0             10 0 0               3.45               0.95               0.25                 60                 50                  0             150.00             -70.00               0.75          120 40 40              0 0 0    123 123 124 240    127 124 124 124       127 30 30 32                  0                111                  0               1.00
// 8 PM
            13 13 13        141 141 141        255 255 255           41 60 60           35 53 50            10 10 0             10 0 0               1.95               0.95               0.95                 60                 50                  0             150.00             -80.00               0.95          120 40 40              0 0 0    122 121 124 240    127 124 124 124       127 30 30 32                  0                120                  0               1.00
// 10 PM
            33 33 33        141 141 141        255 255 255            0 40 40            0 40 40            10 10 0             10 0 0               0.95               0.95               0.65                 60                 50                  0             150.00            -100.00               0.95           70 27 10              0 0 0    123 124 120 240    127 124 124 124       127 30 30 32                  0                120                  0               1.00
//
///////////////////////////////////////////SUNNY_VEGAS 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
            25 22 22        144 137 137        255 255 255              5 1 9            13 0 35          255 255 0              5 0 0               0.95               0.25               0.75                200                100                  0            1000.00             100.00               0.95             5 0 18              3 3 3       38 38 55 240       127 64 64 64        127 88 27 0                122                  0                  0               1.00
// 5 AM
            24 16 25        138 138 138        255 255 255            5 13 18           16 13 16          255 128 0            255 0 0              -0.05               0.25               0.75                150                100                  0            1000.00             100.00               0.95              9 1 0           50 43 36       53 62 68 240      127 64 64 152        127 79 27 0                122                  0                  0               1.00
// 6 AM
              0 5 10        110 110 110        255 255 255         88 160 208        207 163 108          255 128 0          255 128 0               8.35               0.35               0.05                140                100                  0            1000.00             100.00               0.75          100 34 25          120 92 88    185 160 160 240       127 64 64 64        127 77 66 0                122                  0                  0               1.00
// 7 AM
             13 13 1        188 188 188        255 255 255        101 162 221         205 152 93          255 128 0            255 0 0               3.25               0.15               0.05                100                 50                  0            1000.00             100.00               0.45         176 129 69        198 169 116    145 170 170 240       127 64 64 64       127 64 64 22                122                  0                  0               1.00
// Midday
             13 13 1        160 160 160        255 255 255        109 162 212        144 144 144          255 128 0          255 128 0               2.45               0.05               0.25                150                  0                150            1000.00              10.00               0.95        120 100 100        180 255 255     90 170 170 240       127 64 64 64     127 128 111 44                122                 88                  0               1.00
// 7 PM
               1 1 1        163 159 163        255 255 255         82 142 163         255 144 89        255 255 255        255 255 255               3.45               0.15               0.95                110                 40                  0            1000.00              10.00               0.75          120 40 40         200 123 96      153 95 87 240       127 64 64 64       127 122 27 0                122                  0                  0               1.00
// 8 PM
               1 1 0        137 137 137        255 255 255          45 84 142         135 111 79          255 128 0            155 0 0               1.95               0.15               0.95                100                 60                  0            1000.00              10.00               0.95          120 40 40          183 97 97       67 67 67 240      127 127 93 71        127 83 11 0                122                  0                  0               1.00
// 10 PM
             12 6 12        138 138 138        255 255 255             8 2 15            12 5 22            255 5 8              5 8 0               0.95               0.25               0.55                160                100                  0            1000.00              10.00               0.95            13 4 26              0 0 0       67 67 62 240    127 124 124 124        127 34 27 0                122                  0                  0               1.00
//
///////////////////////////////////////////EXTRASUNNY_VEGAS 
//
//               Amb            Amb_Obj                Dir             SkyTop            Sky bot            SunCore          SunCorona              SunSz              SprSz            SprBght               Shdw           LightShd            PoleShd             FarClp              FogSt      LightOnGround       LowCloudsRGB     BottomCloudRGB          WaterRGBA        PostFx1ARGB        PostFx2ARGB         CloudAlpha     IntensityLimit      WaterFogAlpha            DirMult
// Midnight
